Candidate_ID,x_Skills,x_Cultural,x_Ethics,x_Gender,x_Minority,x_Integrity,Integrity_Flag
C349,79.9,57.69,84.04,0,1,67.1,0
C350,65.01,58.63,69.53,0,0,70.15,0
C351,84.88,55.37,85.95,1,1,74.29,0
C352,88.65,58.33,52.18,0,0,63.94,0
C353,71.48,54.23,77.96,0,1,78.16,0
C354,61.19,75.92,80.35,0,1,87.02,0
C355,61.25,78.69,65.66,1,1,68.92,0
C356,52.46,52.36,43.5,0,1,93.19,0
C357,67.74,55.01,65.99,0,0,83.11,0
C358,63.96,70.66,76.31,0,0,88.31,0
C359,72.52,58.37,55.73,0,0,71.42,0
C360,56.42,72.6,74.02,0,0,86.55,0
C361,75.27,67.44,71.83,0,0,67.08,0
C362,89.46,46.81,78.37,0,0,86.9,0
C363,57.67,83.22,73.32,0,1,79.72,0
C364,73.62,86.55,61.3,0,0,83.53,0
C365,72.13,55.42,85.16,1,1,66.24,0
C366,55.56,58.82,70.26,1,1,69.05,0
C367,63.83,67.6,71.7,0,1,83.97,0
C368,61.63,64.21,61.73,0,1,68.52,0
C369,69.37,72.9,67.12,1,0,82.63,0
C370,52.22,86.5,62.27,0,1,64.33,0
C371,61.16,59.83,70.1,0,1,86.48,0
C372,74.97,55.42,90.83,1,0,65.67,0
C373,88.32,48.45,56.91,0,0,83.52,0
C374,73.93,55.67,54.25,0,1,84.26,0
C375,98.14,64.6,88.18,0,0,71.03,0
C376,57.26,86.53,69.7,1,0,83.82,0
C377,76.93,52.18,64.64,0,1,80.6,0
C378,70.57,67.69,83.44,1,0,72.61,0
C379,98.66,64.8,65.34,1,0,67.91,0
C380,53.97,75.89,92.09,0,1,58.37,0
C381,56.24,95.32,79.46,0,0,81.5,0
C382,59.61,58.63,66.63,0,0,62.35,0
C383,38.27,59.13,95.73,0,0,78.95,0
C384,60.64,77.53,65.34,0,0,75.37,0
C385,54.24,69.05,80.16,1,1,84.79,0
C386,70.11,87.16,75.29,1,0,74.98,0
C387,72.78,72.01,86.32,1,0,74.71,0
C388,94.27,60.69,89.18,0,0,85.32,0
C389,81.31,72.09,72.35,1,0,81.35,0
C390,52.56,76.04,63.71,1,1,81.16,0
C391,47.21,72.79,77.06,1,1,82.69,0
C392,74.89,71.09,64.55,0,0,62.64,0
C393,49.52,77.8,94.15,1,0,85.57,0
C394,93.64,79.03,73.5,0,0,84.12,0
C395,84.51,81.59,67.98,0,0,67.83,0
C396,58.15,68.46,74.03,0,1,75.56,0
C397,44.02,62.99,57.18,1,0,77.61,0
C398,86.95,66.76,61.31,1,0,76.66,0
C399,66.4,79.48,85.2,0,0,81.34,0
C400,79.42,51.56,64.77,0,1,92.31,0
C401,83.2,66.43,87.22,0,1,88.82,0
C402,59.61,60.28,77.9,0,0,64.88,0
C403,83.5,60.94,89.46,0,1,84.22,0
C404,68.66,80.34,79.91,0,0,91.29,0
C405,61.7,67.29,82.96,1,0,81.87,0
C406,68.36,64.62,63.68,0,1,88.91,0
C407,42.83,46.0,56.36,0,1,98.12,0
C408,58.23,65.18,88.51,0,1,88.24,0
C409,69.68,72.75,68.45,1,0,80.49,0
C410,75.2,90.96,69.24,1,0,88.45,0
C411,73.16,58.1,86.61,1,1,79.45,0
C412,52.26,67.63,78.12,0,0,78.24,0
C413,46.52,67.99,77.01,1,0,74.49,0
C414,85.89,83.93,95.82,0,0,93.63,0
C415,63.99,59.23,64.92,1,1,69.82,0
C416,57.52,68.35,82.21,1,0,93.32,0
C417,89.72,72.29,72.63,1,0,83.0,0
C418,64.58,61.29,74.95,1,1,64.01,0
C419,84.51,59.64,88.81,1,0,81.68,0
C420,68.95,67.33,77.59,0,0,57.0,0
C421,96.85,77.88,77.92,1,0,84.26,0
C422,92.57,52.68,83.8,0,0,86.85,0
C423,64.51,66.6,67.99,1,0,72.08,0
C424,81.6,56.6,62.77,0,0,79.24,0
C425,68.76,73.69,60.51,0,1,97.54,0
C426,87.16,46.72,50.37,0,0,72.94,0
C427,50.01,56.18,94.62,0,1,67.41,0
C428,77.6,69.53,59.86,0,0,92.82,0
C429,82.82,83.79,69.57,1,0,97.63,0
C430,43.38,64.21,68.96,0,0,78.04,0
C431,51.43,58.34,75.38,0,0,88.11,0
C432,32.06,86.73,80.97,1,1,91.41,0
C433,64.23,47.62,81.47,0,0,70.58,0
C434,78.05,38.61,65.59,1,0,73.15,0
C435,80.39,68.1,70.16,1,1,90.31,0
C436,53.16,55.4,75.11,1,1,94.85,0
C437,81.16,51.55,69.26,1,1,83.63,0
C438,48.68,73.5,89.68,0,0,69.2,0
C439,34.85,64.29,77.4,1,1,97.87,0
C440,67.22,58.23,80.08,0,0,72.69,0
C441,73.38,49.64,79.29,0,0,74.65,0
C442,67.54,75.47,84.91,1,0,81.42,0
C443,39.06,72.8,73.99,0,0,93.54,0
C444,66.75,63.81,57.73,1,0,86.54,0
C445,49.74,87.16,76.4,1,0,82.15,0
C446,73.26,48.68,64.84,1,1,82.63,0
C447,73.13,46.69,66.19,1,0,78.44,0
C448,54.84,56.7,78.45,0,0,83.58,0
C449,60.81,64.45,85.62,0,0,52.7,0
C450,50.19,62.89,72.23,1,1,75.03,0
C451,67.12,62.11,75.4,0,0,80.41,0
C452,81.37,69.22,90.72,1,0,66.49,0
C453,50.18,44.48,74.65,1,1,81.86,0
C454,72.11,78.25,100.0,1,1,75.96,0
C455,60.58,64.01,78.22,0,0,95.55,0
C456,48.36,75.59,52.63,0,1,93.73,0
C457,65.09,66.15,80.29,0,1,73.34,0
C458,50.95,66.83,76.19,0,1,76.49,0
C459,60.25,71.84,86.19,1,0,77.26,0
C460,88.48,65.67,81.64,0,1,73.48,0
C461,95.51,72.71,70.48,0,0,79.95,0
C462,68.49,80.95,58.53,0,0,70.42,0
C463,58.2,67.36,69.7,1,0,66.69,0
C464,71.0,73.51,62.64,1,0,84.23,0
C465,66.43,63.92,65.61,0,0,84.3,0
C466,61.82,80.21,78.47,0,1,69.96,0
C467,76.6,56.88,90.37,0,0,86.95,0
C468,78.61,86.61,76.34,0,0,71.68,0
C469,60.57,64.52,58.85,1,0,80.53,0
C470,59.94,47.83,76.89,1,0,86.2,0
C471,54.42,61.24,85.16,0,1,77.66,0
C472,35.77,56.83,65.29,0,0,82.55,0
C473,46.79,75.09,70.53,1,0,72.84,0
C474,87.14,57.17,72.16,0,0,76.04,0
C475,91.03,59.65,63.37,1,0,75.94,0
C476,64.51,42.33,79.13,0,0,70.53,0
C477,65.99,58.74,70.67,0,1,76.23,0
C478,63.3,32.47,76.61,0,1,62.51,0
C479,100.0,45.99,62.24,0,0,73.09,0
C480,73.72,69.66,67.19,1,1,75.15,0
C481,56.42,68.52,79.95,0,1,75.44,0
C482,76.01,66.3,83.03,0,1,75.59,0
C483,45.51,53.4,91.0,0,0,77.38,0
C484,70.85,64.43,67.6,0,0,82.79,0
C485,57.41,64.96,74.47,0,0,86.75,0
C486,42.5,51.01,82.26,0,1,71.5,0
C487,83.92,80.75,89.53,1,1,65.97,0
C488,52.86,75.53,52.63,0,0,67.58,0
C489,91.62,62.35,55.22,0,0,73.13,0
C490,70.6,64.67,85.89,1,1,74.48,0
C491,55.64,65.84,65.93,0,1,70.3,0
C492,88.97,36.67,82.15,1,1,65.04,0
C493,56.44,58.89,65.79,0,1,73.44,0
C494,55.94,56.82,74.03,1,0,79.81,0
C495,89.32,52.98,88.96,1,0,83.95,0
C496,67.78,57.6,94.07,1,1,72.43,0
C497,53.48,86.57,94.68,1,0,73.87,0
C498,65.34,72.69,85.29,0,0,68.73,0
C499,46.06,58.48,83.26,1,1,77.69,0
C500,48.64,71.87,78.52,0,0,69.52,0
